,Store,Date,Temperature,Fuel_Price,CPI,Unemployment
0,1,2010-02-05,42.31,2.572,211.0963582,8.106
1,1,2010-02-12,38.51,2.548,211.2421698,8.106
2,1,2010-02-19,39.93,2.514,211.2891429,8.106
3,1,2010-02-26,46.63,2.561,211.3196429,8.106
4,1,2010-03-05,46.5,2.625,211.3501429,8.106
5,1,2010-03-12,57.79,2.667,211.3806429,8.106
6,1,2010-03-19,54.58,2.72,211.215635,8.106
7,1,2010-03-26,51.45,2.732,211.0180424,8.106
8,1,2010-04-02,62.27,2.719,210.8204499,7.808
9,1,2010-04-09,65.86,2.77,210.6228574,7.808
10,1,2010-04-16,66.32,2.808,210.4887,7.808
11,1,2010-04-23,64.84,2.795,210.4391228,7.808
12,1,2010-04-30,67.41,2.78,210.3895456,7.808
13,1,2010-05-07,72.55,2.835,210.3399684,7.808
14,1,2010-05-14,74.78,2.854,210.3374261,7.808
15,1,2010-05-21,76.44,2.826,210.6170934,7.808
16,1,2010-05-28,80.44,2.759,210.8967606,7.808
17,1,2010-06-04,80.69,2.705,211.1764278,7.808
18,1,2010-06-11,80.43,2.668,211.4560951,7.808
19,1,2010-06-18,84.11,2.637,211.4537719,7.808
20,1,2010-06-25,84.34,2.653,211.3386526,7.808
21,1,2010-07-02,80.91,2.669,211.2235333,7.787
22,1,2010-07-09,80.48,2.642,211.108414,7.787
23,1,2010-07-16,83.15,2.623,211.1003854,7.787
24,1,2010-07-23,83.36,2.608,211.2351443,7.787
25,1,2010-07-30,81.84,2.64,211.3699032,7.787
26,1,2010-08-06,87.16,2.627,211.5046621,7.787
27,1,2010-08-13,87.0,2.692,211.6394211,7.787
28,1,2010-08-20,86.65,2.664,211.6033633,7.787
29,1,2010-08-27,85.22,2.619,211.5673056,7.787
30,1,2010-09-03,81.21,2.577,211.5312479,7.787
31,1,2010-09-10,78.69,2.565,211.4951902,7.787
32,1,2010-09-17,82.11,2.582,211.5224596,7.787
33,1,2010-09-24,80.94,2.624,211.5972246,7.787
34,1,2010-10-01,71.89,2.603,211.6719895,7.838
35,1,2010-10-08,63.93,2.633,211.7467544,7.838
36,1,2010-10-15,67.18,2.72,211.8137436,7.838
37,1,2010-10-22,69.86,2.725,211.8612937,7.838
38,1,2010-10-29,69.64,2.716,211.9088438,7.838
39,1,2010-11-05,58.74,2.689,211.9563939,7.838
40,1,2010-11-12,59.61,2.728,212.003944,7.838
41,1,2010-11-19,51.41,2.771,211.8896737,7.838
42,1,2010-11-26,64.52,2.735,211.7484333,7.838
43,1,2010-12-03,49.27,2.708,211.607193,7.838
44,1,2010-12-10,46.33,2.843,211.4659526,7.838
45,1,2010-12-17,49.84,2.869,211.4053124,7.838
46,1,2010-12-24,52.33,2.886,211.4051222,7.838
47,1,2010-12-31,48.43,2.943,211.4049321,7.838
48,1,2011-01-07,48.27,2.976,211.4047419,7.742
49,1,2011-01-14,35.4,2.983,211.4574109,7.742
50,1,2011-01-21,44.04,3.016,211.8272343,7.742
51,1,2011-01-28,43.83,3.01,212.1970577,7.742
52,1,2011-02-04,42.27,2.989,212.5668812,7.742
53,1,2011-02-11,36.39,3.022,212.9367046,7.742
54,1,2011-02-18,57.36,3.045,213.2478853,7.742
55,1,2011-02-25,62.9,3.065,213.535609,7.742
56,1,2011-03-04,59.58,3.288,213.8233327,7.742
57,1,2011-03-11,53.56,3.459,214.1110564,7.742
58,1,2011-03-18,62.76,3.488,214.3627114,7.742
59,1,2011-03-25,69.97,3.473,214.5999389,7.742
60,1,2011-04-01,59.17,3.524,214.8371664,7.682
61,1,2011-04-08,67.84,3.622,215.0743939,7.682
62,1,2011-04-15,71.27,3.743,215.2918561,7.682
63,1,2011-04-22,72.99,3.807,215.4599053,7.682
64,1,2011-04-29,72.03,3.81,215.6279544,7.682
65,1,2011-05-06,64.61,3.906,215.7960035,7.682
66,1,2011-05-13,75.64,3.899,215.9640526,7.682
67,1,2011-05-20,67.63,3.907,215.7339202,7.682
68,1,2011-05-27,77.72,3.786,215.5037878,7.682
69,1,2011-06-03,83.0,3.699,215.2736553,7.682
70,1,2011-06-10,83.13,3.648,215.0435229,7.682
71,1,2011-06-17,86.41,3.637,214.9980596,7.682
72,1,2011-06-24,83.58,3.594,215.0910982,7.682
73,1,2011-07-01,85.55,3.524,215.1841368,7.962
74,1,2011-07-08,85.83,3.48,215.2771754,7.962
75,1,2011-07-15,88.54,3.575,215.3611087,7.962
76,1,2011-07-22,85.77,3.651,215.4222784,7.962
77,1,2011-07-29,86.83,3.682,215.4834482,7.962
78,1,2011-08-05,91.65,3.684,215.544618,7.962
79,1,2011-08-12,90.76,3.638,215.6057878,7.962
80,1,2011-08-19,89.94,3.554,215.6693107,7.962
81,1,2011-08-26,87.96,3.523,215.7332258,7.962
82,1,2011-09-02,87.83,3.533,215.7971409,7.962
83,1,2011-09-09,76.0,3.546,215.861056,7.962
84,1,2011-09-16,79.94,3.526,216.0410526,7.962
85,1,2011-09-23,75.8,3.467,216.3758246,7.962
86,1,2011-09-30,79.69,3.355,216.7105965,7.962
87,1,2011-10-07,69.31,3.285,217.0453684,7.866
88,1,2011-10-14,71.74,3.274,217.3552733,7.866
89,1,2011-10-21,63.71,3.353,217.5159762,7.866
90,1,2011-10-28,66.57,3.372,217.6766791,7.866
91,1,2011-11-04,54.98,3.332,217.837382,7.866
92,1,2011-11-11,59.11,3.297,217.9980849,7.866
93,1,2011-11-18,62.25,3.308,218.2205088,7.866
94,1,2011-11-25,60.14,3.236,218.4676211,7.866
95,1,2011-12-02,48.91,3.172,218.7147333,7.866
96,1,2011-12-09,43.93,3.158,218.9618456,7.866
97,1,2011-12-16,51.63,3.159,219.1794533,7.866
98,1,2011-12-23,47.96,3.112,219.3577216,7.866
99,1,2011-12-30,44.55,3.129,219.5359898,7.866
100,1,2012-01-06,49.01,3.157,219.7142581,7.348
101,1,2012-01-13,48.53,3.261,219.8925263,7.348
102,1,2012-01-20,54.11,3.268,219.9856893,7.348
103,1,2012-01-27,54.26,3.29,220.0788523,7.348
104,1,2012-02-03,56.55,3.36,220.1720153,7.348
105,1,2012-02-10,48.02,3.409,220.2651783,7.348
106,1,2012-02-17,45.32,3.51,220.4257586,7.348
107,1,2012-02-24,57.25,3.555,220.636902,7.348
108,1,2012-03-02,60.96,3.63,220.8480454,7.348
109,1,2012-03-09,58.76,3.669,221.0591887,7.348
110,1,2012-03-16,64.74,3.734,221.2118132,7.348
111,1,2012-03-23,65.93,3.787,221.2864126,7.348
112,1,2012-03-30,67.61,3.845,221.3610119,7.348
113,1,2012-04-06,70.43,3.891,221.4356112,7.143
114,1,2012-04-13,69.07,3.891,221.5102105,7.143
115,1,2012-04-20,66.76,3.877,221.5640737,7.143
116,1,2012-04-27,67.23,3.814,221.6179368,7.143
117,1,2012-05-04,75.55,3.749,221.6718,7.143
118,1,2012-05-11,73.77,3.688,221.7256632,7.143
119,1,2012-05-18,70.33,3.63,221.742674,7.143
120,1,2012-05-25,77.22,3.561,221.744944,7.143
121,1,2012-06-01,77.95,3.501,221.7472139,7.143
122,1,2012-06-08,78.3,3.452,221.7494839,7.143
123,1,2012-06-15,79.35,3.393,221.7626421,7.143
124,1,2012-06-22,78.39,3.346,221.8030211,7.143
125,1,2012-06-29,84.88,3.286,221.8434,7.143
126,1,2012-07-06,81.57,3.227,221.8837789,6.908
127,1,2012-07-13,77.12,3.256,221.9241579,6.908
128,1,2012-07-20,80.42,3.311,221.9327267,6.908
129,1,2012-07-27,82.66,3.407,221.9412954,6.908
130,1,2012-08-03,86.11,3.417,221.9498642,6.908
131,1,2012-08-10,85.05,3.494,221.9584329,6.908
132,1,2012-08-17,84.85,3.571,222.0384109,6.908
133,1,2012-08-24,77.66,3.62,222.1719457,6.908
134,1,2012-08-31,80.49,3.638,222.3054805,6.908
135,1,2012-09-07,83.96,3.73,222.4390153,6.908
136,1,2012-09-14,74.97,3.717,222.5820193,6.908
137,1,2012-09-21,69.87,3.721,222.7818386,6.908
138,1,2012-09-28,76.08,3.666,222.9816579,6.908
139,1,2012-10-05,68.55,3.617,223.1814772,6.573
140,1,2012-10-12,62.99,3.601,223.3812965,6.573
141,1,2012-10-19,67.97,3.594,223.4257233,6.573
142,1,2012-10-26,69.16,3.506,223.4442513,6.573
143,1,2012-11-02,55.32,3.386,223.4627793,6.573
144,1,2012-11-09,61.24,3.314,223.4813073,6.573
145,1,2012-11-16,52.92,3.252,223.5129105,6.573
146,1,2012-11-23,56.23,3.211,223.5619474,6.573
147,1,2012-11-30,52.34,3.207,223.6109842,6.573
148,1,2012-12-07,64.12,3.198,223.6600211,6.573
149,1,2012-12-14,48.89,3.168,223.7192767,6.573
150,1,2012-12-21,56.02,3.098,223.8398455,6.573
151,1,2012-12-28,44.79,3.108,223.9604143,6.573
152,1,2013-01-04,41.73,3.161,224.080983,6.525
153,1,2013-01-11,50.32,3.243,224.2015518,6.525
154,1,2013-01-18,42.92,3.237,224.2358132,6.525
155,1,2013-01-25,53.37,3.227,224.2355518,6.525
156,1,2013-02-01,56.46,3.244,224.2352903,6.525
157,1,2013-02-08,56.67,3.417,224.2350289,6.525
158,1,2013-02-15,49.66,3.475,224.2760526,6.525
159,1,2013-02-22,50.25,3.597,224.4202895,6.525
160,1,2013-03-01,48.01,3.711,224.5645263,6.525
161,1,2013-03-08,50.81,3.658,224.7087632,6.525
162,1,2013-03-15,55.33,3.622,224.8356808,6.525
163,1,2013-03-22,63.42,3.611,224.9193005,6.525
164,1,2013-03-29,51.0,3.606,225.0029202,6.525
165,1,2013-04-05,58.59,3.583,225.0865399,6.314
166,1,2013-04-12,62.72,3.529,225.1701596,6.314
167,1,2013-04-19,67.1,3.451,225.1701596,6.314
168,1,2013-04-26,59.23,3.417,225.1701596,6.314
169,1,2013-05-03,66.66,3.386,,
170,1,2013-05-10,63.9,3.392,,
171,1,2013-05-17,69.53,3.454,,
172,1,2013-05-24,77.19,3.494,,
173,1,2013-05-31,78.02,3.466,,
174,1,2013-06-07,76.44,3.439,,
175,1,2013-06-14,79.86,3.431,,
176,1,2013-06-21,81.35,3.479,,
177,1,2013-06-28,83.94,3.495,,
178,1,2013-07-05,79.85,3.422,,
179,1,2013-07-12,83.12,3.4,,
180,1,2013-07-19,79.26,3.556,,
181,1,2013-07-26,81.54,3.62,,
182,2,2010-02-05,40.19,2.572,210.7526053,8.324
183,2,2010-02-12,38.49,2.548,210.8979935,8.324
184,2,2010-02-19,39.69,2.514,210.9451605,8.324
185,2,2010-02-26,46.1,2.561,210.9759573,8.324
186,2,2010-03-05,47.17,2.625,211.0067542,8.324
187,2,2010-03-12,57.56,2.667,211.037551,8.324
188,2,2010-03-19,54.52,2.72,210.8733316,8.324
189,2,2010-03-26,51.26,2.732,210.6766095,8.324
190,2,2010-04-02,63.27,2.719,210.4798874,8.2
191,2,2010-04-09,65.41,2.77,210.2831653,8.2
192,2,2010-04-16,68.07,2.808,210.1495463,8.2
193,2,2010-04-23,65.11,2.795,210.1000648,8.2
194,2,2010-04-30,66.98,2.78,210.0505833,8.2
195,2,2010-05-07,71.28,2.835,210.0011018,8.2
196,2,2010-05-14,73.31,2.854,209.9984585,8.2
197,2,2010-05-21,74.83,2.826,210.2768443,8.2
198,2,2010-05-28,81.13,2.759,210.5552301,8.2
199,2,2010-06-04,81.81,2.705,210.833616,8.2
200,2,2010-06-11,83.4,2.668,211.1120018,8.2
201,2,2010-06-18,85.81,2.637,211.1096543,8.2
202,2,2010-06-25,86.26,2.653,210.9950134,8.2
203,2,2010-07-02,82.74,2.669,210.8803726,8.099
204,2,2010-07-09,82.59,2.642,210.7657317,8.099
205,2,2010-07-16,85.32,2.623,210.7577954,8.099
206,2,2010-07-23,87.66,2.608,210.8921319,8.099
207,2,2010-07-30,83.49,2.64,211.0264684,8.099
208,2,2010-08-06,89.53,2.627,211.1608049,8.099
209,2,2010-08-13,89.05,2.692,211.2951413,8.099
210,2,2010-08-20,88.7,2.664,211.2596586,8.099
211,2,2010-08-27,87.12,2.619,211.2241759,8.099
212,2,2010-09-03,81.83,2.577,211.1886931,8.099
213,2,2010-09-10,79.09,2.565,211.1532104,8.099
214,2,2010-09-17,82.05,2.582,211.1806415,8.099
215,2,2010-09-24,81.79,2.624,211.2552578,8.099
216,2,2010-10-01,69.24,2.603,211.3298742,8.163
217,2,2010-10-08,63.19,2.633,211.4044906,8.163
218,2,2010-10-15,65.8,2.72,211.4713286,8.163
219,2,2010-10-22,68.5,2.725,211.5187208,8.163
220,2,2010-10-29,66.24,2.716,211.5661131,8.163
221,2,2010-11-05,57.85,2.689,211.6135053,8.163
222,2,2010-11-12,59.69,2.728,211.6608975,8.163
223,2,2010-11-19,50.81,2.771,211.5470304,8.163
224,2,2010-11-26,62.98,2.735,211.4062867,8.163
225,2,2010-12-03,49.33,2.708,211.265543,8.163
226,2,2010-12-10,45.5,2.843,211.1247993,8.163
227,2,2010-12-17,47.55,2.869,211.0645458,8.163
228,2,2010-12-24,49.97,2.886,211.0646599,8.163
229,2,2010-12-31,47.3,2.943,211.064774,8.163
230,2,2011-01-07,44.69,2.976,211.0648881,8.028
231,2,2011-01-14,33.02,2.983,211.1176713,8.028
232,2,2011-01-21,41.4,3.016,211.4864691,8.028
233,2,2011-01-28,42.83,3.01,211.8552668,8.028
234,2,2011-02-04,38.25,2.989,212.2240646,8.028
235,2,2011-02-11,33.19,3.022,212.5928624,8.028
236,2,2011-02-18,57.83,3.045,212.9033115,8.028
237,2,2011-02-25,60.8,3.065,213.190421,8.028
238,2,2011-03-04,57.77,3.288,213.4775305,8.028
239,2,2011-03-11,52.7,3.459,213.7646401,8.028
240,2,2011-03-18,62.32,3.488,214.0156238,8.028
241,2,2011-03-25,69.42,3.473,214.2521573,8.028
242,2,2011-04-01,55.43,3.524,214.4886908,7.931
243,2,2011-04-08,67.0,3.622,214.7252242,7.931
244,2,2011-04-15,69.48,3.743,214.9420631,7.931
245,2,2011-04-22,69.39,3.807,215.1096657,7.931
246,2,2011-04-29,69.21,3.81,215.2772683,7.931
247,2,2011-05-06,61.48,3.906,215.4448709,7.931
248,2,2011-05-13,74.61,3.899,215.6124735,7.931
249,2,2011-05-20,67.14,3.907,215.3834778,7.931
250,2,2011-05-27,76.42,3.786,215.1544822,7.931
251,2,2011-06-03,83.07,3.699,214.9254865,7.931
252,2,2011-06-10,83.4,3.648,214.6964908,7.931
253,2,2011-06-17,86.53,3.637,214.6513538,7.931
254,2,2011-06-24,85.17,3.594,214.7441108,7.931
255,2,2011-07-01,85.69,3.524,214.8368678,7.852
256,2,2011-07-08,87.7,3.48,214.9296249,7.852
257,2,2011-07-15,89.83,3.575,215.0134426,7.852
258,2,2011-07-22,89.34,3.651,215.0749122,7.852
259,2,2011-07-29,90.07,3.682,215.1363819,7.852
260,2,2011-08-05,93.34,3.684,215.1978515,7.852
261,2,2011-08-12,91.58,3.638,215.2593211,7.852
262,2,2011-08-19,89.86,3.554,215.3229307,7.852
263,2,2011-08-26,90.45,3.523,215.386897,7.852
264,2,2011-09-02,89.64,3.533,215.4508632,7.852
265,2,2011-09-09,77.97,3.546,215.5148295,7.852
266,2,2011-09-16,78.85,3.526,215.6944378,7.852
267,2,2011-09-23,75.58,3.467,216.0282356,7.852
268,2,2011-09-30,78.14,3.355,216.3620333,7.852
269,2,2011-10-07,69.92,3.285,216.6958311,7.441
270,2,2011-10-14,71.67,3.274,217.0048261,7.441
271,2,2011-10-21,64.53,3.353,217.1650042,7.441
272,2,2011-10-28,65.87,3.372,217.3251824,7.441
273,2,2011-11-04,55.53,3.332,217.4853605,7.441
274,2,2011-11-11,59.33,3.297,217.6455387,7.441
275,2,2011-11-18,62.01,3.308,217.8670218,7.441
276,2,2011-11-25,56.36,3.236,218.1130269,7.441
277,2,2011-12-02,48.74,3.172,218.3590319,7.441
278,2,2011-12-09,41.76,3.158,218.605037,7.441
279,2,2011-12-16,50.13,3.159,218.8217928,7.441
280,2,2011-12-23,46.66,3.112,218.9995495,7.441
281,2,2011-12-30,44.57,3.129,219.1773063,7.441
282,2,2012-01-06,46.75,3.157,219.355063,7.057
283,2,2012-01-13,45.99,3.261,219.5328198,7.057
284,2,2012-01-20,51.7,3.268,219.6258417,7.057
285,2,2012-01-27,50.5,3.29,219.7188636,7.057
286,2,2012-02-03,55.21,3.36,219.8118854,7.057
287,2,2012-02-10,46.98,3.409,219.9049073,7.057
288,2,2012-02-17,43.82,3.51,220.0651993,7.057
289,2,2012-02-24,54.63,3.555,220.275944,7.057
290,2,2012-03-02,58.79,3.63,220.4866886,7.057
291,2,2012-03-09,57.11,3.669,220.6974332,7.057
292,2,2012-03-16,63.68,3.734,220.8498468,7.057
293,2,2012-03-23,64.01,3.787,220.9244858,7.057
294,2,2012-03-30,66.83,3.845,220.9991248,7.057
295,2,2012-04-06,68.43,3.891,221.0737638,6.891
296,2,2012-04-13,68.08,3.891,221.1484028,6.891
297,2,2012-04-20,65.69,3.877,221.2021074,6.891
298,2,2012-04-27,67.2,3.814,221.255812,6.891
299,2,2012-05-04,76.73,3.749,221.3095166,6.891
300,2,2012-05-11,73.87,3.688,221.3632212,6.891
301,2,2012-05-18,71.27,3.63,221.380331,6.891
302,2,2012-05-25,78.19,3.561,221.3828029,6.891
303,2,2012-06-01,78.38,3.501,221.3852748,6.891
304,2,2012-06-08,78.69,3.452,221.3877467,6.891
305,2,2012-06-15,80.56,3.393,221.4009901,6.891
306,2,2012-06-22,81.04,3.346,221.4411622,6.891
307,2,2012-06-29,86.32,3.286,221.4813343,6.891
308,2,2012-07-06,84.2,3.227,221.5215064,6.565
309,2,2012-07-13,80.17,3.256,221.5616784,6.565
310,2,2012-07-20,83.23,3.311,221.5701123,6.565
311,2,2012-07-27,86.37,3.407,221.5785461,6.565
312,2,2012-08-03,90.22,3.417,221.5869799,6.565
313,2,2012-08-10,88.55,3.494,221.5954138,6.565
314,2,2012-08-17,84.79,3.571,221.6751459,6.565
315,2,2012-08-24,76.91,3.62,221.8083518,6.565
316,2,2012-08-31,82.64,3.638,221.9415576,6.565
317,2,2012-09-07,87.65,3.73,222.0747635,6.565
318,2,2012-09-14,75.88,3.717,222.2174395,6.565
319,2,2012-09-21,71.09,3.721,222.4169362,6.565
320,2,2012-09-28,79.45,3.666,222.6164329,6.565
321,2,2012-10-05,70.27,3.617,222.8159296,6.17
322,2,2012-10-12,60.97,3.601,223.0154263,6.17
323,2,2012-10-19,68.08,3.594,223.0598077,6.17
324,2,2012-10-26,69.79,3.506,223.0783366,6.17
325,2,2012-11-02,56.4,3.386,223.0968655,6.17
326,2,2012-11-09,61.9,3.314,223.1153944,6.17
327,2,2012-11-16,52.72,3.252,223.1469028,6.17
328,2,2012-11-23,58.06,3.211,223.1957173,6.17
329,2,2012-11-30,52.64,3.207,223.2445318,6.17
330,2,2012-12-07,64.19,3.198,223.2933463,6.17
331,2,2012-12-14,47.69,3.168,223.3523969,6.17
332,2,2012-12-21,55.14,3.098,223.4728642,6.17
333,2,2012-12-28,41.56,3.108,223.5933316,6.17
334,2,2013-01-04,39.12,3.161,223.7137989,6.237
335,2,2013-01-11,47.42,3.243,223.8342663,6.237
336,2,2013-01-18,40.98,3.237,223.86882,6.237
337,2,2013-01-25,51.33,3.227,223.8690083,6.237
338,2,2013-02-01,54.75,3.244,223.8691966,6.237
339,2,2013-02-08,56.08,3.417,223.8693849,6.237
340,2,2013-02-15,48.92,3.475,223.9106714,6.237
341,2,2013-02-22,48.16,3.597,224.0547032,6.237
342,2,2013-03-01,46.08,3.711,224.198735,6.237
343,2,2013-03-08,51.12,3.658,224.3427668,6.237
344,2,2013-03-15,55.14,3.622,224.469439,6.237
345,2,2013-03-22,59.97,3.611,224.5527121,6.237
346,2,2013-03-29,50.54,3.606,224.6359852,6.237
347,2,2013-04-05,58.3,3.583,224.7192583,6.112
348,2,2013-04-12,61.23,3.529,224.8025314,6.112
349,2,2013-04-19,67.05,3.451,224.8025314,6.112
350,2,2013-04-26,58.13,3.417,224.8025314,6.112
351,2,2013-05-03,65.26,3.386,,
352,2,2013-05-10,63.51,3.392,,
353,2,2013-05-17,70.55,3.454,,
354,2,2013-05-24,76.83,3.494,,
355,2,2013-05-31,78.05,3.466,,
356,2,2013-06-07,76.2,3.439,,
357,2,2013-06-14,80.91,3.431,,
358,2,2013-06-21,81.11,3.479,,
359,2,2013-06-28,85.37,3.495,,
360,2,2013-07-05,79.48,3.422,,
361,2,2013-07-12,85.41,3.4,,
362,2,2013-07-19,79.16,3.556,,
363,2,2013-07-26,83.17,3.62,,
364,3,2010-02-05,45.71,2.572,214.4248812,7.368
365,3,2010-02-12,47.93,2.548,214.5747916,7.368
366,3,2010-02-19,47.07,2.514,214.6198868,7.368
367,3,2010-02-26,52.05,2.561,214.6475127,7.368
368,3,2010-03-05,53.04,2.625,214.6751386,7.368
369,3,2010-03-12,63.08,2.667,214.7027646,7.368
370,3,2010-03-19,60.42,2.72,214.5301219,7.368
371,3,2010-03-26,57.06,2.732,214.3241011,7.368
372,3,2010-04-02,65.56,2.719,214.1180803,7.343
373,3,2010-04-09,68.0,2.77,213.9120595,7.343
374,3,2010-04-16,66.98,2.808,213.7726889,7.343
375,3,2010-04-23,67.87,2.795,213.7221852,7.343
376,3,2010-04-30,70.24,2.78,213.6716815,7.343
377,3,2010-05-07,73.47,2.835,213.6211778,7.343
378,3,2010-05-14,77.18,2.854,213.6196139,7.343
379,3,2010-05-21,75.81,2.826,213.9116886,7.343
380,3,2010-05-28,78.6,2.759,214.2037634,7.343
381,3,2010-06-04,78.53,2.705,214.4958382,7.343
382,3,2010-06-11,82.1,2.668,214.787913,7.343
383,3,2010-06-18,83.52,2.637,214.7858259,7.343
384,3,2010-06-25,83.79,2.653,214.6660741,7.343
385,3,2010-07-02,82.2,2.669,214.5463222,7.346
386,3,2010-07-09,81.75,2.642,214.4265704,7.346
387,3,2010-07-16,84.32,2.623,214.4176476,7.346
388,3,2010-07-23,83.32,2.608,214.5564968,7.346
389,3,2010-07-30,82.04,2.64,214.695346,7.346
390,3,2010-08-06,85.13,2.627,214.8341952,7.346
391,3,2010-08-13,86.74,2.692,214.9730444,7.346
392,3,2010-08-20,88.02,2.664,214.9314191,7.346
393,3,2010-08-27,86.15,2.619,214.8897938,7.346
394,3,2010-09-03,84.16,2.577,214.8481685,7.346
395,3,2010-09-10,80.84,2.565,214.8065431,7.346
396,3,2010-09-17,82.36,2.582,214.8322484,7.346
397,3,2010-09-24,76.9,2.624,214.9084516,7.346
398,3,2010-10-01,73.6,2.603,214.9846548,7.564
